tablet_id,site,date_est,material,transliteration,sign_groups,sign_sequence_unicode,sign_sequence_ids,sign_group_count,sign_count
HT 51,Hagia Triada,-1500,clay,NA-RU GRA 14 I-RE GRA 6 KU-RO GRA 20,NA-RU|GRA|I-RE|GRA|KU-RO|GRA,𐘅𐘘 𐙕 𐘚𐘙 𐙕 𐙂𐘁 𐙕,"5,24,85,26,25,85,66,1,85",6,9
HT 52,Hagia Triada,-1500,clay,A-RA-NA-RE OLE 10 PA-TA OLE 5 KU-RO OLE 15,A-RA-NA-RE|OLE|PA-TA|OLE|KU-RO|OLE,𐘀𐘴𐘅𐘙 𐙚 𐘂𐘳 𐙚 𐙂𐘁 𐙚,"0,52,5,25,90,2,51,90,66,1,90",6,11
HT 53,Hagia Triada,-1500,clay,KU-PA GRA 8 PI-NU GRA 7 KU-RO GRA 15,KU-PA|GRA|PI-NU|GRA|KU-RO|GRA,𐙂𐘂 𐙕 𐘢𐘟 𐙕 𐙂𐘁 𐙕,"66,2,85,34,31,85,66,1,85",6,9
HT 54,Hagia Triada,-1500,clay,RO-JA BOS 4 WA-TU BOS 3 KU-RO BOS 7,RO-JA|BOS|WA-TU|BOS|KU-RO|BOS,𐘁𐘧 𐙠 𐘮𐘹 𐙠 𐙂𐘁 𐙠,"1,39,96,46,57,96,66,1,96",6,9
HT 55,Hagia Triada,-1500,clay,I-NA-I GRA 18 A-NA GRA 7 KU-RO GRA 25,I-NA-I|GRA|A-NA|GRA|KU-RO|GRA,𐘚𐘅𐘚 𐙕 𐘀𐘅 𐙕 𐙂𐘁 𐙕,"26,5,26,85,0,5,85,66,1,85",6,10
HT 56,Hagia Triada,-1500,clay,TE-RE-ZA OVS 12 MA-DI OVS 8 KU-RO OVS 20,TE-RE-ZA|OVS|MA-DI|OVS|KU-RO|OVS,𐘃𐘙𐘍 𐙝 𐙁𐘆 𐙝 𐙂𐘁 𐙝,"3,25,13,93,65,6,93,66,1,93",6,10
HT 57,Hagia Triada,-1500,clay,TU-RU-SA GRA 11 I-NI-JA GRA 9 KU-RO GRA 20,TU-RU-SA|GRA|I-NI-JA|GRA|KU-RO|GRA,𐘹𐘘𐘞 𐙕 𐘚𐘝𐘧 𐙕 𐙂𐘁 𐙕,"57,24,30,85,26,29,39,85,66,1,85",6,11
HT 58,Hagia Triada,-1500,clay,DA-TE-WA VIN 13 A-KI-RO VIN 7 KU-RO VIN 20,DA-TE-WA|VIN|A-KI-RO|VIN|KU-RO|VIN,𐘦𐘃𐘮 𐙗 𐘀𐘸𐘁 𐙗 𐙂𐘁 𐙗,"38,3,46,87,0,56,1,87,66,1,87",6,11
HT 59,Hagia Triada,-1500,clay,NI-TE-RA OLE 9 WA-RA-KE OLE 6 KU-RO OLE 15,NI-TE-RA|OLE|WA-RA-KE|OLE|KU-RO|OLE,𐘝𐘃𐘴 𐙚 𐘮𐘴𐘥 𐙚 𐙂𐘁 𐙚,"29,3,52,90,46,52,37,90,66,1,90",6,11
HT 60,Hagia Triada,-1500,clay,KI-DA-TE GRA 20 QE-QA-DA GRA 5 KU-RO GRA 25,KI-DA-TE|GRA|QE-QA-DA|GRA|KU-RO|GRA,𐘸𐘦𐘃 𐙕 𐘿𐘌𐘦 𐙕 𐙂𐘁 𐙕,"56,38,3,85,63,12,38,85,66,1,85",6,11
HT 61,Hagia Triada,-1500,clay,PI-TA-JA OVS 14 I-NA-JA OVS 6 KU-RO OVS 20,PI-TA-JA|OVS|I-NA-JA|OVS|KU-RO|OVS,𐘢𐘳𐘧 𐙝 𐘚𐘅𐘧 𐙝 𐙂𐘁 𐙝,"34,51,39,93,26,5,39,93,66,1,93",6,11
HT 62,Hagia Triada,-1500,clay,TA-NA-TI GRA 10 TI-RI-SI GRA 5 KU-RO GRA 15,TA-NA-TI|GRA|TI-RI-SI|GRA|KU-RO|GRA,𐘳𐘅𐘠 𐙕 𐘠𐘭𐘜 𐙕 𐙂𐘁 𐙕,"51,5,32,85,32,45,28,85,66,1,85",6,11
HT 63,Hagia Triada,-1500,clay,DI-NA-U VIN 8 TE-KI-NA VIN 7 KU-RO VIN 15,DI-NA-U|VIN|TE-KI-NA|VIN|KU-RO|VIN,𐘆𐘅𐘉 𐙗 𐘃𐘸𐘅 𐙗 𐙂𐘁 𐙗,"6,5,9,87,3,56,5,87,66,1,87",6,11
HT 64,Hagia Triada,-1500,clay,PE-QA OVS 10 A-TU OVS 5 KU-RO OVS 15,PE-QA|OVS|A-TU|OVS|KU-RO|OVS,?𐘌 𐙝 𐘀𐘹 𐙝 𐙂𐘁 𐙝,"12,93,0,57,93,66,1,93",6,8
HT 65,Hagia Triada,-1500,clay,QE-RA-SA GRA 12 SA-RU GRA 8 KU-RO GRA 20,QE-RA-SA|GRA|SA-RU|GRA|KU-RO|GRA,𐘿𐘴𐘞 𐙕 𐘞𐘘 𐙕 𐙂𐘁 𐙕,"63,52,30,85,30,24,85,66,1,85",6,10
HT 66,Hagia Triada,-1500,clay,ME-RU OLE 7 DA-RA-MA-TU OLE 8 KU-RO OLE 15,ME-RU|OLE|DA-RA-MA-TU|OLE|KU-RO|OLE,𐘋𐘘 𐙚 𐘦𐘴𐙁𐘹 𐙚 𐙂𐘁 𐙚,"11,24,90,38,52,65,57,90,66,1,90",6,11
HT 67,Hagia Triada,-1500,clay,A-SA GRA 15 TU-RU GRA 5 KU-RO GRA 20,A-SA|GRA|TU-RU|GRA|KU-RO|GRA,𐘀𐘞 𐙕 𐘹𐘘 𐙕 𐙂𐘁 𐙕,"0,30,85,57,24,85,66,1,85",6,9
HT 68,Hagia Triada,-1500,clay,I-QE-PA OVS 8 PA3-KA-NA OVS 7 KU-RO OVS 15,I-QE-PA|OVS|PA3-KA-NA|OVS|KU-RO|OVS,𐘚𐘿𐘂 𐙝 𐘰𐘾𐘅 𐙝 𐙂𐘁 𐙝,"26,63,2,93,48,62,5,93,66,1,93",6,11
HT 69,Hagia Triada,-1500,clay,PA-TA VIN 10 KU-PA VIN 5 KU-RO VIN 15,PA-TA|VIN|KU-PA|VIN|KU-RO|VIN,𐘂𐘳 𐙗 𐙂𐘂 𐙗 𐙂𐘁 𐙗,"2,51,87,66,2,87,66,1,87",6,9
HT 70,Hagia Triada,-1500,clay,NI-RO GRA 14 PI-NU GRA 6 KU-RO GRA 20,NI-RO|GRA|PI-NU|GRA|KU-RO|GRA,𐘝𐘁 𐙕 𐘢𐘟 𐙕 𐙂𐘁 𐙕,"29,1,85,34,31,85,66,1,85",6,9
HT 71,Hagia Triada,-1500,clay,TE-RE-ZA OLE 8 DA-TE-WA OLE 7 KU-RO OLE 15,TE-RE-ZA|OLE|DA-TE-WA|OLE|KU-RO|OLE,𐘃𐘙𐘍 𐙚 𐘦𐘃𐘮 𐙚 𐙂𐘁 𐙚,"3,25,13,90,38,3,46,90,66,1,90",6,11
HT 72,Hagia Triada,-1500,clay,A-RE-NU-WA GRA 20 A-TA-RE GRA 5 KU-RO GRA 25,A-RE-NU-WA|GRA|A-TA-RE|GRA|KU-RO|GRA,𐘀𐘙𐘟𐘮 𐙕 𐘀𐘳𐘙 𐙕 𐙂𐘁 𐙕,"0,25,31,46,85,0,51,25,85,66,1,85",6,12
HT 73,Hagia Triada,-1500,clay,A-MI-DA-O OVS 15 KU-PA3-NU OVS 10 KI-RO OVS 3 KU-RO OVS 22,A-MI-DA-O|OVS|KU-PA3-NU|OVS|KI-RO|OVS|KU-RO|OVS,𐘀𐘒𐘦𐘵 𐙝 𐙂𐘰𐘟 𐙝 𐘸𐘁 𐙝 𐙂𐘁 𐙝,"0,18,38,53,93,66,48,31,93,56,1,93,66,1,93",8,15
HT 74,Hagia Triada,-1500,clay,DA-QE-RA GRA 18 SI-DA-TE GRA 7 KU-RO GRA 25,DA-QE-RA|GRA|SI-DA-TE|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘜𐘦𐘃 𐙕 𐙂𐘁 𐙕,"38,63,52,85,28,38,3,85,66,1,85",6,11
HT 75,Hagia Triada,-1500,clay,TE-KI VIN 22 QA-I-RO VIN 8 KU-RO VIN 30,TE-KI|VIN|QA-I-RO|VIN|KU-RO|VIN,𐘃𐘸 𐙗 𐘌𐘚𐘁 𐙗 𐙂𐘁 𐙗,"3,56,87,12,26,1,87,66,1,87",6,10
HT 76,Hagia Triada,-1500,clay,A-DU OLE 12 I-DA-TE OLE 8 KU-RO OLE 20,A-DU|OLE|I-DA-TE|OLE|KU-RO|OLE,𐘀𐘬 𐙚 𐘚𐘦𐘃 𐙚 𐙂𐘁 𐙚,"0,44,90,26,38,3,90,66,1,90",6,10
HT 77,Hagia Triada,-1500,clay,PA-I-TO GRA 16 A-RE GRA 4 KU-RO GRA 20,PA-I-TO|GRA|A-RE|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"2,26,4,85,0,25,85,66,1,85",6,10
HT 78,Hagia Triada,-1500,clay,KU-PA3-NU OVS 18 RI-JA-TA OVS 7 KU-RO OVS 25,KU-PA3-NU|OVS|RI-JA-TA|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘭𐘧𐘳 𐙝 𐙂𐘁 𐙝,"66,48,31,93,45,39,51,93,66,1,93",6,11
HT 79,Hagia Triada,-1500,clay,SA-MA GRA 10 JA-RE GRA 5 KU-RO GRA 15,SA-MA|GRA|JA-RE|GRA|KU-RO|GRA,𐘞𐙁 𐙕 𐘧𐘙 𐙕 𐙂𐘁 𐙕,"30,65,85,39,25,85,66,1,85",6,9
HT 80,Hagia Triada,-1500,clay,U-NA-KA VIN 8 QA-QA-RU VIN 7 KU-RO VIN 15,U-NA-KA|VIN|QA-QA-RU|VIN|KU-RO|VIN,𐘉𐘅𐘾 𐙗 𐘌𐘌𐘘 𐙗 𐙂𐘁 𐙗,"9,5,62,87,12,12,24,87,66,1,87",6,11
HT 81,Hagia Triada,-1500,clay,WI-NA-DU GRA 8 PA-TA-NE GRA 7 KU-RO GRA 15,WI-NA-DU|GRA|PA-TA-NE|GRA|KU-RO|GRA,𐘣𐘅𐘬 𐙕 𐘂𐘳𐘗 𐙕 𐙂𐘁 𐙕,"35,5,44,85,2,51,23,85,66,1,85",6,11
HT 82,Hagia Triada,-1500,clay,SU-PU2-WA OLE 12 A-NU-PA OLE 8 KU-RO OLE 20,SU-PU2-WA|OLE|A-NU-PA|OLE|KU-RO|OLE,𐘲𐙄𐘮 𐙚 𐘀𐘟𐘂 𐙚 𐙂𐘁 𐙚,"50,68,46,90,0,31,2,90,66,1,90",6,11
HT 83,Hagia Triada,-1500,clay,PA3-TE GRA 14 DA-I GRA 6 KU-RO GRA 20,PA3-TE|GRA|DA-I|GRA|KU-RO|GRA,𐘰𐘃 𐙕 𐘦𐘚 𐙕 𐙂𐘁 𐙕,"48,3,85,38,26,85,66,1,85",6,9
HT 84,Hagia Triada,-1500,clay,A-RE-NU-WA OVS 10 A-TA-RE OVS 5 KU-RO OVS 15,A-RE-NU-WA|OVS|A-TA-RE|OVS|KU-RO|OVS,𐘀𐘙𐘟𐘮 𐙝 𐘀𐘳𐘙 𐙝 𐙂𐘁 𐙝,"0,25,31,46,93,0,51,25,93,66,1,93",6,12
HT 96,Hagia Triada,-1500,clay,RI-JA-TA GRA 18 SA-MA GRA 7 KU-RO GRA 25,RI-JA-TA|GRA|SA-MA|GRA|KU-RO|GRA,𐘭𐘧𐘳 𐙕 𐘞𐙁 𐙕 𐙂𐘁 𐙕,"45,39,51,85,30,65,85,66,1,85",6,10
HT 97,Hagia Triada,-1500,clay,JA-RE VIN 10 SU-PU2-WA VIN 5 KU-RO VIN 15,JA-RE|VIN|SU-PU2-WA|VIN|KU-RO|VIN,𐘧𐘙 𐙗 𐘲𐙄𐘮 𐙗 𐙂𐘁 𐙗,"39,25,87,50,68,46,87,66,1,87",6,10
HT 98,Hagia Triada,-1500,clay,PA3-TE OLE 8 DA-I OLE 7 KU-RO OLE 15,PA3-TE|OLE|DA-I|OLE|KU-RO|OLE,𐘰𐘃 𐙚 𐘦𐘚 𐙚 𐙂𐘁 𐙚,"48,3,90,38,26,90,66,1,90",6,9
HT 99,Hagia Triada,-1500,clay,U-NA-KA GRA 12 QA-QA-RU GRA 8 KU-RO GRA 20,U-NA-KA|GRA|QA-QA-RU|GRA|KU-RO|GRA,𐘉𐘅𐘾 𐙕 𐘌𐘌𐘘 𐙕 𐙂𐘁 𐙕,"9,5,62,85,12,12,24,85,66,1,85",6,11
HT 101,Hagia Triada,-1500,clay,A-RE OVS 20 PA-TA-NE OVS 10 KU-RO OVS 30,A-RE|OVS|PA-TA-NE|OVS|KU-RO|OVS,𐘀𐘙 𐙝 𐘂𐘳𐘗 𐙝 𐙂𐘁 𐙝,"0,25,93,2,51,23,93,66,1,93",6,10
HT 102,Hagia Triada,-1500,clay,WI-NA-DU GRA 14 I-DA-TE GRA 6 KU-RO GRA 20,WI-NA-DU|GRA|I-DA-TE|GRA|KU-RO|GRA,𐘣𐘅𐘬 𐙕 𐘚𐘦𐘃 𐙕 𐙂𐘁 𐙕,"35,5,44,85,26,38,3,85,66,1,85",6,11
HT 103,Hagia Triada,-1500,clay,A-NU-PA VIN 8 TE-KI VIN 7 KU-RO VIN 15,A-NU-PA|VIN|TE-KI|VIN|KU-RO|VIN,𐘀𐘟𐘂 𐙗 𐘃𐘸 𐙗 𐙂𐘁 𐙗,"0,31,2,87,3,56,87,66,1,87",6,10
HT 104,Hagia Triada,-1500,clay,DA-QE-RA GRA 12 QA-I-RO GRA 8 KU-RO GRA 20,DA-QE-RA|GRA|QA-I-RO|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘌𐘚𐘁 𐙕 𐙂𐘁 𐙕,"38,63,52,85,12,26,1,85,66,1,85",6,11
HT 105,Hagia Triada,-1500,clay,KU-PA3-NU OVS 15 A-MI-DA-O OVS 5 KU-RO OVS 20,KU-PA3-NU|OVS|A-MI-DA-O|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘀𐘒𐘦𐘵 𐙝 𐙂𐘁 𐙝,"66,48,31,93,0,18,38,53,93,66,1,93",6,12
HT 106,Hagia Triada,-1500,clay,SI-DA-TE OLE 10 PA-I-TO OLE 5 KU-RO OLE 15,SI-DA-TE|OLE|PA-I-TO|OLE|KU-RO|OLE,𐘜𐘦𐘃 𐙚 𐘂𐘚𐘄 𐙚 𐙂𐘁 𐙚,"28,38,3,90,2,26,4,90,66,1,90",6,11
HT 107,Hagia Triada,-1500,clay,A-DU GRA 18 DA-I GRA 7 KU-RO GRA 25,A-DU|GRA|DA-I|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘦𐘚 𐙕 𐙂𐘁 𐙕,"0,44,85,38,26,85,66,1,85",6,9
HT 108,Hagia Triada,-1500,clay,A-RE-NU-WA OVS 12 A-TA-RE OVS 8 KU-RO OVS 20,A-RE-NU-WA|OVS|A-TA-RE|OVS|KU-RO|OVS,𐘀𐘙𐘟𐘮 𐙝 𐘀𐘳𐘙 𐙝 𐙂𐘁 𐙝,"0,25,31,46,93,0,51,25,93,66,1,93",6,12
HT 109,Hagia Triada,-1500,clay,RI-JA-TA GRA 14 SA-MA GRA 6 KU-RO GRA 20,RI-JA-TA|GRA|SA-MA|GRA|KU-RO|GRA,𐘭𐘧𐘳 𐙕 𐘞𐙁 𐙕 𐙂𐘁 𐙕,"45,39,51,85,30,65,85,66,1,85",6,10
HT 110,Hagia Triada,-1500,clay,JA-RE VIN 15 U-NA-KA VIN 5 KU-RO VIN 20,JA-RE|VIN|U-NA-KA|VIN|KU-RO|VIN,𐘧𐘙 𐙗 𐘉𐘅𐘾 𐙗 𐙂𐘁 𐙗,"39,25,87,9,5,62,87,66,1,87",6,10
HT 111,Hagia Triada,-1500,clay,SU-PU2-WA OLE 9 PA3-TE OLE 6 KU-RO OLE 15,SU-PU2-WA|OLE|PA3-TE|OLE|KU-RO|OLE,𐘲𐙄𐘮 𐙚 𐘰𐘃 𐙚 𐙂𐘁 𐙚,"50,68,46,90,48,3,90,66,1,90",6,10
HT 112,Hagia Triada,-1500,clay,QA-QA-RU GRA 10 WI-NA-DU GRA 5 KU-RO GRA 15,QA-QA-RU|GRA|WI-NA-DU|GRA|KU-RO|GRA,𐘌𐘌𐘘 𐙕 𐘣𐘅𐘬 𐙕 𐙂𐘁 𐙕,"12,12,24,85,35,5,44,85,66,1,85",6,11
HT 113,Hagia Triada,-1500,clay,PA-TA-NE OVS 14 A-RE OVS 6 KU-RO OVS 20,PA-TA-NE|OVS|A-RE|OVS|KU-RO|OVS,𐘂𐘳𐘗 𐙝 𐘀𐘙 𐙝 𐙂𐘁 𐙝,"2,51,23,93,0,25,93,66,1,93",6,10
HT 114,Hagia Triada,-1500,clay,DA-QE-RA GRA 16 SI-DA-TE GRA 4 KU-RO GRA 20,DA-QE-RA|GRA|SI-DA-TE|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘜𐘦𐘃 𐙕 𐙂𐘁 𐙕,"38,63,52,85,28,38,3,85,66,1,85",6,11
HT 115,Hagia Triada,-1500,clay,KU-PA3-NU VIN 12 A-MI-DA-O VIN 8 KU-RO VIN 20,KU-PA3-NU|VIN|A-MI-DA-O|VIN|KU-RO|VIN,𐙂𐘰𐘟 𐙗 𐘀𐘒𐘦𐘵 𐙗 𐙂𐘁 𐙗,"66,48,31,87,0,18,38,53,87,66,1,87",6,12
HT 116,Hagia Triada,-1500,clay,I-DA-TE OLE 8 A-NU-PA OLE 7 KU-RO OLE 15,I-DA-TE|OLE|A-NU-PA|OLE|KU-RO|OLE,𐘚𐘦𐘃 𐙚 𐘀𐘟𐘂 𐙚 𐙂𐘁 𐙚,"26,38,3,90,0,31,2,90,66,1,90",6,11
HT 118,Hagia Triada,-1500,clay,QA-I-RO GRA 20 A-DU GRA 5 KU-RO GRA 25,QA-I-RO|GRA|A-DU|GRA|KU-RO|GRA,𐘌𐘚𐘁 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"12,26,1,85,0,44,85,66,1,85",6,10
HT 119,Hagia Triada,-1500,clay,PA-I-TO OVS 12 KU-PA3-NU OVS 8 KU-RO OVS 20,PA-I-TO|OVS|KU-PA3-NU|OVS|KU-RO|OVS,𐘂𐘚𐘄 𐙝 𐙂𐘰𐘟 𐙝 𐙂𐘁 𐙝,"2,26,4,93,66,48,31,93,66,1,93",6,11
HT 120,Hagia Triada,-1500,clay,A-RE VIN 10 DA-QE-RA VIN 5 KU-RO VIN 15,A-RE|VIN|DA-QE-RA|VIN|KU-RO|VIN,𐘀𐘙 𐙗 𐘦𐘿𐘴 𐙗 𐙂𐘁 𐙗,"0,25,87,38,63,52,87,66,1,87",6,10
HT 121,Hagia Triada,-1500,clay,SI-DA-TE GRA 14 TE-KI GRA 6 KU-RO GRA 20,SI-DA-TE|GRA|TE-KI|GRA|KU-RO|GRA,𐘜𐘦𐘃 𐙕 𐘃𐘸 𐙕 𐙂𐘁 𐙕,"28,38,3,85,3,56,85,66,1,85",6,10
HT 123,Hagia Triada,-1500,clay,A-MI-DA-O OLE 8 U-NA-KA OLE 7 KU-RO OLE 15,A-MI-DA-O|OLE|U-NA-KA|OLE|KU-RO|OLE,𐘀𐘒𐘦𐘵 𐙚 𐘉𐘅𐘾 𐙚 𐙂𐘁 𐙚,"0,18,38,53,90,9,5,62,90,66,1,90",6,12
HT 124,Hagia Triada,-1500,clay,WI-NA-DU GRA 12 SA-MA GRA 8 KU-RO GRA 20,WI-NA-DU|GRA|SA-MA|GRA|KU-RO|GRA,𐘣𐘅𐘬 𐙕 𐘞𐙁 𐙕 𐙂𐘁 𐙕,"35,5,44,85,30,65,85,66,1,85",6,10
HT 125,Hagia Triada,-1500,clay,JA-RE OVS 15 RI-JA-TA OVS 5 KU-RO OVS 20,JA-RE|OVS|RI-JA-TA|OVS|KU-RO|OVS,𐘧𐘙 𐙝 𐘭𐘧𐘳 𐙝 𐙂𐘁 𐙝,"39,25,93,45,39,51,93,66,1,93",6,10
HT 126,Hagia Triada,-1500,clay,SU-PU2-WA GRA 10 PA3-TE GRA 5 KU-RO GRA 15,SU-PU2-WA|GRA|PA3-TE|GRA|KU-RO|GRA,𐘲𐙄𐘮 𐙕 𐘰𐘃 𐙕 𐙂𐘁 𐙕,"50,68,46,85,48,3,85,66,1,85",6,10
HT 127,Hagia Triada,-1500,clay,DA-I VIN 8 QA-QA-RU VIN 7 KU-RO VIN 15,DA-I|VIN|QA-QA-RU|VIN|KU-RO|VIN,𐘦𐘚 𐙗 𐘌𐘌𐘘 𐙗 𐙂𐘁 𐙗,"38,26,87,12,12,24,87,66,1,87",6,10
HT 128,Hagia Triada,-1500,clay,PA-TA-NE OLE 9 I-DA-TE OLE 6 KU-RO OLE 15,PA-TA-NE|OLE|I-DA-TE|OLE|KU-RO|OLE,𐘂𐘳𐘗 𐙚 𐘚𐘦𐘃 𐙚 𐙂𐘁 𐙚,"2,51,23,90,26,38,3,90,66,1,90",6,11
HT 129,Hagia Triada,-1500,clay,A-NU-PA GRA 14 A-RE-NU-WA GRA 6 KU-RO GRA 20,A-NU-PA|GRA|A-RE-NU-WA|GRA|KU-RO|GRA,𐘀𐘟𐘂 𐙕 𐘀𐘙𐘟𐘮 𐙕 𐙂𐘁 𐙕,"0,31,2,85,0,25,31,46,85,66,1,85",6,12
HT 130,Hagia Triada,-1500,clay,A-TA-RE OVS 10 DA-QE-RA OVS 5 KU-RO OVS 15,A-TA-RE|OVS|DA-QE-RA|OVS|KU-RO|OVS,𐘀𐘳𐘙 𐙝 𐘦𐘿𐘴 𐙝 𐙂𐘁 𐙝,"0,51,25,93,38,63,52,93,66,1,93",6,11
HT 131,Hagia Triada,-1500,clay,SI-DA-TE GRA 12 KU-PA3-NU GRA 8 KU-RO GRA 20,SI-DA-TE|GRA|KU-PA3-NU|GRA|KU-RO|GRA,𐘜𐘦𐘃 𐙕 𐙂𐘰𐘟 𐙕 𐙂𐘁 𐙕,"28,38,3,85,66,48,31,85,66,1,85",6,11
HT 132,Hagia Triada,-1500,clay,PA-I-TO VIN 10 A-DU VIN 5 KU-RO VIN 15,PA-I-TO|VIN|A-DU|VIN|KU-RO|VIN,𐘂𐘚𐘄 𐙗 𐘀𐘬 𐙗 𐙂𐘁 𐙗,"2,26,4,87,0,44,87,66,1,87",6,10
HT 133,Hagia Triada,-1500,clay,QA-I-RO OLE 8 A-MI-DA-O OLE 7 KU-RO OLE 15,QA-I-RO|OLE|A-MI-DA-O|OLE|KU-RO|OLE,𐘌𐘚𐘁 𐙚 𐘀𐘒𐘦𐘵 𐙚 𐙂𐘁 𐙚,"12,26,1,90,0,18,38,53,90,66,1,90",6,12
HT 134,Hagia Triada,-1500,clay,TE-KI GRA 16 A-RE GRA 4 KU-RO GRA 20,TE-KI|GRA|A-RE|GRA|KU-RO|GRA,𐘃𐘸 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"3,56,85,0,25,85,66,1,85",6,9
HT 135,Hagia Triada,-1500,clay,WI-NA-DU OVS 12 PA-TA-NE OVS 8 KU-RO OVS 20,WI-NA-DU|OVS|PA-TA-NE|OVS|KU-RO|OVS,𐘣𐘅𐘬 𐙝 𐘂𐘳𐘗 𐙝 𐙂𐘁 𐙝,"35,5,44,93,2,51,23,93,66,1,93",6,11
ZA 2,Zakros,-1475,clay,A-MI-DA-O GRA 15 DA-QE-RA GRA 10 KU-RO GRA 25,A-MI-DA-O|GRA|DA-QE-RA|GRA|KU-RO|GRA,𐘀𐘒𐘦𐘵 𐙕 𐘦𐘿𐘴 𐙕 𐙂𐘁 𐙕,"0,18,38,53,85,38,63,52,85,66,1,85",6,12
ZA 3,Zakros,-1475,clay,KU-PA3-NU VIN 8 SI-DA-TE VIN 7 KU-RO VIN 15,KU-PA3-NU|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐙂𐘰𐘟 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"66,48,31,87,28,38,3,87,66,1,87",6,11
ZA 5,Zakros,-1475,clay,PA-I-TO OLE 20 A-RE OLE 5 KU-RO OLE 25,PA-I-TO|OLE|A-RE|OLE|KU-RO|OLE,𐘂𐘚𐘄 𐙚 𐘀𐘙 𐙚 𐙂𐘁 𐙚,"2,26,4,90,0,25,90,66,1,90",6,10
ZA 6,Zakros,-1475,clay,TE-KI GRA 12 A-DU GRA 8 KU-RO GRA 20,TE-KI|GRA|A-DU|GRA|KU-RO|GRA,𐘃𐘸 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"3,56,85,0,44,85,66,1,85",6,9
ZA 7,Zakros,-1475,clay,DA-QE-RA OVS 18 A-MI-DA-O OVS 7 KU-RO OVS 25,DA-QE-RA|OVS|A-MI-DA-O|OVS|KU-RO|OVS,𐘦𐘿𐘴 𐙝 𐘀𐘒𐘦𐘵 𐙝 𐙂𐘁 𐙝,"38,63,52,93,0,18,38,53,93,66,1,93",6,12
ZA 8,Zakros,-1475,clay,A-NU-PA VIN 10 QA-I-RO VIN 5 KU-RO VIN 15,A-NU-PA|VIN|QA-I-RO|VIN|KU-RO|VIN,𐘀𐘟𐘂 𐙗 𐘌𐘚𐘁 𐙗 𐙂𐘁 𐙗,"0,31,2,87,12,26,1,87,66,1,87",6,11
ZA 9,Zakros,-1475,clay,SI-DA-TE GRA 14 KU-PA3-NU GRA 6 KU-RO GRA 20,SI-DA-TE|GRA|KU-PA3-NU|GRA|KU-RO|GRA,𐘜𐘦𐘃 𐙕 𐙂𐘰𐘟 𐙕 𐙂𐘁 𐙕,"28,38,3,85,66,48,31,85,66,1,85",6,11
ZA 11,Zakros,-1475,clay,TA-I-NI GRA 16 KU-NI-SU GRA 9 KU-RO GRA 25,TA-I-NI|GRA|KU-NI-SU|GRA|KU-RO|GRA,𐘳𐘚𐘝 𐙕 𐙂𐘝𐘲 𐙕 𐙂𐘁 𐙕,"51,26,29,85,66,29,50,85,66,1,85",6,11
ZA 12,Zakros,-1475,clay,MA-RA-PU OVS 10 I-JA OVS 5 KU-RO OVS 15,MA-RA-PU|OVS|I-JA|OVS|KU-RO|OVS,𐙁𐘴𐘫 𐙝 𐘚𐘧 𐙝 𐙂𐘁 𐙝,"65,52,43,93,26,39,93,66,1,93",6,10
ZA 13,Zakros,-1475,clay,SA-RI-NO GRA 8 KU-KA-NI GRA 7 KU-RO GRA 15,SA-RI-NO|GRA|KU-KA-NI|GRA|KU-RO|GRA,𐘞𐘭𐘯 𐙕 𐙂𐘾𐘝 𐙕 𐙂𐘁 𐙕,"30,45,47,85,66,62,29,85,66,1,85",6,11
ZA 14,Zakros,-1475,clay,A-TA-DU VIN 12 TA-I-NI VIN 8 KU-RO VIN 20,A-TA-DU|VIN|TA-I-NI|VIN|KU-RO|VIN,𐘀𐘳𐘬 𐙗 𐘳𐘚𐘝 𐙗 𐙂𐘁 𐙗,"0,51,44,87,51,26,29,87,66,1,87",6,11
ZA 16,Zakros,-1475,clay,KU-NI-SU OLE 10 MA-RA-PU OLE 5 KU-RO OLE 15,KU-NI-SU|OLE|MA-RA-PU|OLE|KU-RO|OLE,𐙂𐘝𐘲 𐙚 𐙁𐘴𐘫 𐙚 𐙂𐘁 𐙚,"66,29,50,90,65,52,43,90,66,1,90",6,11
ZA 17,Zakros,-1475,clay,I-JA GRA 18 SA-RI-NO GRA 7 KU-RO GRA 25,I-JA|GRA|SA-RI-NO|GRA|KU-RO|GRA,𐘚𐘧 𐙕 𐘞𐘭𐘯 𐙕 𐙂𐘁 𐙕,"26,39,85,30,45,47,85,66,1,85",6,10
